time,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z
53.278,0.0,0.0,0.25,0.25,0.0,0.0
53.378,0.0,0.0,0.25,0.25,0.0,0.0
53.478,0.0,0.0,0.25,0.25,0.0,0.0
53.58,0.0,0.0,0.25,0.25,0.0,0.0
53.678,0.0,0.0,0.25,0.25,0.0,0.0
53.779,0.0,0.0,0.25,0.25,0.0,0.0
53.878,0.0,0.0,0.25,0.25,0.0,0.0
53.978,0.0,0.0,0.25,0.25,0.0,0.0
54.078,0.0,0.0,0.25,0.25,0.0,0.0
54.178,0.0,0.0,0.25,0.25,0.0,0.0
54.279,0.0,0.0,0.25,0.25,0.0,0.0
54.378,0.0,0.0,0.25,0.25,0.0,0.0
54.478,0.0,0.0,0.25,0.25,0.0,0.0
54.578,0.0,0.0,0.25,0.25,0.0,0.0
54.678,0.0,0.0,0.25,0.25,0.0,0.0
54.778,0.0,0.0,0.25,0.25,0.0,0.0
54.879,0.0,0.0,0.25,0.25,0.0,0.0
54.978,0.0,0.0,0.25,0.25,0.0,0.0
55.079,0.0,0.0,0.25,0.25,0.0,0.0
55.182,0.0,0.0,0.25,0.25,0.0,0.0
55.278,0.0,0.0,0.25,0.25,0.0,0.0
55.379,0.0,0.0,0.25,0.25,0.0,0.0
55.478,0.0,0.0,0.25,0.25,0.0,0.0
55.583,0.0,0.0,0.25,0.25,0.0,0.0
55.681,0.0,0.0,0.25,0.25,0.0,0.0
55.778,0.0,0.0,0.25,0.25,0.0,0.0
55.878,0.0,0.0,0.25,0.25,0.0,0.0
55.98,0.0,0.0,0.25,0.25,0.0,0.0
56.078,0.0,0.0,0.25,0.25,0.0,0.0
56.178,0.0,0.0,0.25,0.25,0.0,0.0
56.279,0.0,0.0,0.25,0.25,0.0,0.0
56.379,0.0,0.0,0.25,0.25,0.0,0.0
56.478,0.0,0.0,0.25,0.25,0.0,0.0
